DATE,Year,Month,Week,Facility_Name,Total_Traffic,Cash,EZPass,Violations,Violation_Rate
2013-01-01,2013,1,1,Bayonne,5031,809,4077,145,0.028821307891075332
2013-01-02,2013,1,1,Bayonne,9554,980,8263,311,0.032551810759891144
2013-01-03,2013,1,1,Bayonne,10215,1101,8796,318,0.031130690161527166
2013-01-04,2013,1,1,Bayonne,10616,1191,9116,309,0.029107008289374528
2013-01-05,2013,1,1,Bayonne,7197,1114,5891,192,0.026677782409337224
2013-01-06,2013,1,1,Bayonne,6163,1060,4959,144,0.02336524419925361
2013-01-07,2013,1,2,Bayonne,9972,1059,8618,295,0.029582831929402326
2013-01-08,2013,1,2,Bayonne,10106,979,8836,291,0.028794775380961805
2013-01-09,2013,1,2,Bayonne,10388,1039,9074,275,0.0264728532922603
2013-01-10,2013,1,2,Bayonne,10432,1072,9054,306,0.02933282208588957
2013-01-11,2013,1,2,Bayonne,10471,1124,9061,286,0.02731353261388597
2013-01-12,2013,1,2,Bayonne,7318,1204,5914,200,0.027329871549603715
2013-01-13,2013,1,2,Bayonne,6307,1007,5138,162,0.025685745996511813
2013-01-14,2013,1,3,Bayonne,9820,1057,8431,332,0.033808553971486764
2013-01-15,2013,1,3,Bayonne,10005,1018,8720,267,0.02668665667166417
2013-01-16,2013,1,3,Bayonne,9727,960,8502,265,0.02724375449778966
2013-01-17,2013,1,3,Bayonne,10380,1032,9041,307,0.029576107899807323
2013-01-18,2013,1,3,Bayonne,10537,1181,9057,299,0.02837619815886875
2013-01-19,2013,1,3,Bayonne,7451,1278,5952,221,0.029660448261978258
2013-01-20,2013,1,3,Bayonne,6132,973,5003,156,0.025440313111545987
2013-01-21,2013,1,4,Bayonne,8203,1057,6894,252,0.030720468121418994
2013-01-22,2013,1,4,Bayonne,10127,1121,8736,270,0.02666140021724104
2013-01-23,2013,1,4,Bayonne,9973,1003,8656,314,0.03148500952571944
2013-01-24,2013,1,4,Bayonne,10241,1021,8918,302,0.029489307684796406
2013-01-25,2013,1,4,Bayonne,10181,1101,8756,324,0.031823985856006286
2013-01-26,2013,1,4,Bayonne,7042,1088,5754,200,0.028401022436807723
2013-01-27,2013,1,4,Bayonne,6096,918,5046,132,0.021653543307086614
2013-01-28,2013,1,5,Bayonne,9464,944,8215,305,0.03222738799661876
2013-01-29,2013,1,5,Bayonne,10234,1007,8938,289,0.02823920265780731
2013-01-30,2013,1,5,Bayonne,10248,986,8959,303,0.02956674473067916
2013-01-31,2013,1,5,Bayonne,10301,1032,8978,291,0.02824968449665081
2013-02-01,2013,2,5,Bayonne,10925,1264,9360,301,0.027551487414187642
2013-02-02,2013,2,5,Bayonne,7405,1168,6052,185,0.024983119513842
2013-02-03,2013,2,5,Bayonne,5881,952,4783,146,0.024825709913280054
2013-02-04,2013,2,6,Bayonne,9669,1011,8384,274,0.028337987382355982
2013-02-05,2013,2,6,Bayonne,10056,965,8841,250,0.024860779634049323
2013-02-06,2013,2,6,Bayonne,10454,1024,9163,267,0.02554046298067725
2013-02-07,2013,2,6,Bayonne,10750,1073,9406,271,0.025209302325581395
2013-02-08,2013,2,6,Bayonne,8094,895,6951,248,0.030639980232270818
2013-02-09,2013,2,6,Bayonne,3292,508,2688,96,0.02916160388821385
2013-02-10,2013,2,6,Bayonne,5632,834,4662,136,0.024147727272727272
2013-02-11,2013,2,7,Bayonne,9119,886,7962,271,0.029718170852067113
2013-02-12,2013,2,7,Bayonne,9919,964,8698,257,0.025909869946567195
2013-02-13,2013,2,7,Bayonne,10293,1040,8977,276,0.026814339842611484
2013-02-14,2013,2,7,Bayonne,10520,1095,9108,317,0.030133079847908747
2013-02-15,2013,2,7,Bayonne,11001,1291,9380,330,0.029997272975184074
2013-02-16,2013,2,7,Bayonne,7358,1209,5939,210,0.028540364229410167
2013-02-17,2013,2,7,Bayonne,6548,1091,5305,152,0.023213194868662187
2013-02-18,2013,2,8,Bayonne,7704,989,6493,222,0.02881619937694704
2013-02-19,2013,2,8,Bayonne,10009,1004,8720,285,0.028474373064242182
2013-02-20,2013,2,8,Bayonne,10056,959,8831,266,0.02645186953062848
2013-02-21,2013,2,8,Bayonne,10312,975,9050,287,0.027831652443754847
2013-02-22,2013,2,8,Bayonne,10462,1130,9044,288,0.027528197285413877
2013-02-23,2013,2,8,Bayonne,7037,1075,5809,153,0.021742219695893135
2013-02-24,2013,2,8,Bayonne,6674,1009,5537,128,0.01917890320647288
2013-02-25,2013,2,9,Bayonne,10017,985,8699,333,0.03324348607367475
2013-02-26,2013,2,9,Bayonne,10124,979,8867,278,0.02745950217305413
2013-02-27,2013,2,9,Bayonne,9771,1000,8523,248,0.02538123017091393
2013-02-28,2013,2,9,Bayonne,10665,1155,9210,300,0.02812939521800281
2013-03-01,2013,3,9,Bayonne,10754,1219,9248,287,0.026687744095220383
2013-03-02,2013,3,9,Bayonne,7709,1252,6256,201,0.026073420677130626
2013-03-03,2013,3,9,Bayonne,6481,1047,5284,150,0.023144576454250887
2013-03-04,2013,3,10,Bayonne,10187,1041,8858,288,0.0282713262000589
